Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
ABCTRANS,ABC Transport PLC,9.5,NGN,1.0638297872340388,3744524,1.1297797038737996,22490644253,NGN,,,,,0,Transportation,No rating
PRESTIGE,Prestige Assurance Co. Plc,1.6,NGN,0.6289308176100634,1298974,0.268363091415452,22264304244,NGN,34.78260869565218,0.046,NGN,-83.70527807297202,0,Finance,No rating
CILEASING,C&I Leasing PLC,7.25,NGN,0,363200,0.2274238754618843,22114326782,NGN,8.465670247547875,0.8564,NGN,21.45794922706001,1.33333333333333,Finance,No rating
NCR,NCR (Nigeria) PLC,199,NGN,0,65911,0.8098915614536295,21492000000,NGN,109.73256134546457,1.8135,NGN,,0,Electronic technology,No rating
BERGER,Berger Paints Nigeria PLC,74,NGN,0,199985,0.43355339263632375,21446935730,NGN,14.452842717915667,5.1201,NGN,141.11608194019308,1.89189189189189,Process industries,No rating
DAARCOMM,DAAR Communications PLC,2.7,NGN,0.7462686567164185,3485404,0.34816211489892007,21440000534,NGN,,-0.0468,NGN,87.12871287128714,0,Consumer services,No rating
UPDCREIT,UPDC Real Estate Investment Trust,7.5,NGN,-1.9607843137254948,1425533,0.3467256659854818,20679088867,NGN,8.965929468021518,0.8365,NGN,-52.48508946322067,6.70967741935484,Finance,No rating
REGALINS,Regency Alliance Insurance PLC,1.25,NGN,-0.7936507936507943,1027861,0.1077757576061336,20326349695,NGN,,,,,0,Finance,No rating
LIVESTOCK,Livestock Feeds PLC,6.5,NGN,-4.411764705882351,491206,0.18256138598078733,19499996826,NGN,,-0.9832,NGN,-275.04005696991277,0,Process industries,No rating
GUINEAINS,Guinea Insurance PLC,1.4,NGN,0,741895,0.1205301790984282,19327480505,NGN,43.07692307692307,0.0325,NGN,-70.64137308039747,0,Finance,No rating
TIP,Initiates PLC,19,NGN,0.5291005291005366,1480339,0.17814716021496615,18028740620.6706,NGN,,,,,0.493655913978495,Commercial services,No rating
